"rede","ano_ensino","contagem_por_ano"
"REDE_PARCEIRA","EI-0 a 1 ano","3007"
"REDE_PARCEIRA","EI-1 a 2 anos","6310"
"REDE_PARCEIRA","EI-2 a 3 anos","7519"
"REDE_PARCEIRA","EI-3 a 4 anos","7093"
"REDE_PARCEIRA","EI-4 a 5 anos","3236"
"REDE_PARCEIRA","EI-5 a 6 anos","2490"
"REDE_PROPRIA","EF-1º Ano","12867"
"REDE_PROPRIA","EF-2º Ano","13408"
"REDE_PROPRIA","EF-3º Ano","13710"
"REDE_PROPRIA","EF-4º Ano","14168"
"REDE_PROPRIA","EF-5º Ano","12721"
"REDE_PROPRIA","EF-6º Ano","9104"
"REDE_PROPRIA","EF-7º Ano","9681"
"REDE_PROPRIA","EF-8º Ano","9787"
"REDE_PROPRIA","EF-9º Ano","8454"
"REDE_PROPRIA","EI-0 a 1 ano","212"
"REDE_PROPRIA","EI-1 a 2 anos","3454"
"REDE_PROPRIA","EI-2 a 3 anos","6478"
"REDE_PROPRIA","EI-3 a 4 anos","9528"
"REDE_PROPRIA","EI-4 a 5 anos","13694"
"REDE_PROPRIA","EI-5 a 6 anos","15467"
"REDE_PROPRIA","EJAF-EPA","2473"
"REDE_PROPRIA","EJAF-EPC","4328"
"REDE_PROPRIA","EJAM-M1","114"
"REDE_PROPRIA","EJAM-M2","110"
"REDE_PROPRIA","Ensino Especial","380"
