"rede","ano_nasc","contagem"
"REDE_PROPRIA",1921,"1"
"REDE_PROPRIA",1924,"1"
"REDE_PROPRIA",1925,"1"
"REDE_PROPRIA",1926,"1"
"REDE_PROPRIA",1927,"3"
"REDE_PROPRIA",1929,"1"
"REDE_PROPRIA",1930,"5"
"REDE_PROPRIA",1931,"4"
"REDE_PROPRIA",1932,"3"
"REDE_PROPRIA",1933,"4"
"REDE_PROPRIA",1934,"8"
"REDE_PROPRIA",1935,"5"
"REDE_PROPRIA",1936,"7"
"REDE_PROPRIA",1937,"5"
"REDE_PROPRIA",1938,"17"
"REDE_PROPRIA",1939,"9"
"REDE_PROPRIA",1940,"13"
"REDE_PROPRIA",1941,"17"
"REDE_PROPRIA",1942,"19"
"REDE_PROPRIA",1943,"25"
"REDE_PROPRIA",1944,"26"
"REDE_PROPRIA",1945,"21"
"REDE_PROPRIA",1946,"39"
"REDE_PROPRIA",1947,"46"
"REDE_PROPRIA",1948,"49"
"REDE_PROPRIA",1949,"32"
"REDE_PROPRIA",1950,"60"
"REDE_PROPRIA",1951,"64"
"REDE_PROPRIA",1952,"67"
"REDE_PROPRIA",1953,"82"
"REDE_PROPRIA",1954,"70"
"REDE_PROPRIA",1955,"74"
"REDE_PROPRIA",1956,"95"
"REDE_PROPRIA",1957,"86"
"REDE_PROPRIA",1958,"86"
"REDE_PROPRIA",1959,"110"
"REDE_PROPRIA",1960,"105"
"REDE_PROPRIA",1961,"98"
"REDE_PROPRIA",1962,"111"
"REDE_PROPRIA",1963,"93"
"REDE_PROPRIA",1964,"104"
"REDE_PROPRIA",1965,"95"
"REDE_PROPRIA",1966,"107"
"REDE_PROPRIA",1967,"108"
"REDE_PROPRIA",1968,"102"
"REDE_PROPRIA",1969,"123"
"REDE_PROPRIA",1970,"101"
"REDE_PROPRIA",1971,"103"
"REDE_PROPRIA",1972,"103"
"REDE_PROPRIA",1973,"120"
"REDE_PROPRIA",1974,"96"
"REDE_PROPRIA",1975,"118"
"REDE_PROPRIA",1976,"98"
"REDE_PROPRIA",1977,"101"
"REDE_PROPRIA",1978,"100"
"REDE_PROPRIA",1979,"107"
"REDE_PROPRIA",1980,"94"
"REDE_PROPRIA",1981,"81"
"REDE_PROPRIA",1982,"76"
"REDE_PROPRIA",1983,"72"
"REDE_PROPRIA",1984,"71"
"REDE_PROPRIA",1985,"58"
"REDE_PROPRIA",1986,"73"
"REDE_PROPRIA",1987,"70"
"REDE_PROPRIA",1988,"50"
"REDE_PROPRIA",1989,"48"
"REDE_PROPRIA",1990,"62"
"REDE_PROPRIA",1991,"55"
"REDE_PROPRIA",1992,"61"
"REDE_PROPRIA",1993,"62"
"REDE_PROPRIA",1994,"62"
"REDE_PROPRIA",1995,"53"
"REDE_PROPRIA",1996,"45"
"REDE_PROPRIA",1997,"54"
"REDE_PROPRIA",1998,"29"
"REDE_PROPRIA",1999,"57"
"REDE_PROPRIA",2022,"7286"
"REDE_PARCEIRA",2022,"7310"
"REDE_PROPRIA",2023,"4283"
"REDE_PARCEIRA",2023,"6885"
"REDE_PARCEIRA",2024,"3945"
"REDE_PROPRIA",2024,"872"
"REDE_PARCEIRA",2025,"363"
"REDE_PROPRIA",2025,"12"
